capture_event_id,split,site_id,datetime,longitude,latitude,environment_feature_status,chirps_monthly_mm,chirps_source_file,jrc_water_occurrence_pct,jrc_water_seasonality_months,jrc_water_extent_class,month,modis_composite_count,modis_first_calendar_date,modis_latest_calendar_date,modis_ndvi_mean,modis_ndvi_median,modis_ndvi_min,modis_ndvi_max,modis_evi_mean,modis_evi_median,modis_evi_min,modis_evi_max,modis_blue_reflectance_mean,modis_red_reflectance_mean,modis_nir_reflectance_mean,modis_mir_reflectance_mean,modis_pixel_reliability_mean,modis_pixel_reliability_best,modis_vi_quality_mode,modis_full_available,modis_ndvi_seed,modis_evi_seed,modis_seed_available
ASG0000172,demo_stream,D07,2010-08-16T14:51:32,34.794840664221134,-2.5112164240356374,ok,1.0950438976287842,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.08.tif,0.0,0.0,0.0,2010-08,2,2010-08-13,2010-08-29,0.2557,0.2557,0.2211,0.2903,0.09095,0.09095,0.0727,0.1092,0.0322,0.06645,0.1128,0.18315,1.0,1.0,2185,True,,,False
ASG00001fo,demo_stream,E04,2010-08-04T08:04:14,34.814808336300196,-2.451064455389564,ok,1.0594699382781982,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.08.tif,0.0,0.0,0.0,2010-08,2,2010-08-13,2010-08-29,0.2462,0.2462,0.2438,0.2486,0.1751,0.1751,0.1693,0.1809,0.0917,0.18965,0.3134,0.291,0.0,0.0,2116,True,,,False
ASG00001tn,demo_stream,F05,2010-07-17T22:58:58,34.83303033734737,-2.46975752506659,ok,6.6293625831604,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.07.tif,0.0,0.0,0.0,2010-07,2,2010-07-12,2010-07-28,0.20575,0.20575,0.2004,0.2111,0.07145,0.07145,0.0694,0.0735,0.03875,0.0675,0.10235,0.16175,0.0,0.0,2116,True,,,False
ASG00007a7,demo_stream,H04,2010-08-20T15:12:22,34.87621961584184,-2.450247001431415,ok,1.2506883144378662,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.08.tif,0.0,0.0,0.0,2010-08,2,2010-08-13,2010-08-29,0.24025,0.24025,0.2311,0.2494,0.1457999999999999,0.1457999999999999,0.1432,0.1484,0.0727,0.14375,0.2343,0.25525,0.0,0.0,2116,True,,,False
ASG00007la,demo_stream,H06,2010-08-10T12:33:18,34.87707923340478,-2.4926360321035275,ok,1.2506883144378662,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.08.tif,0.0,0.0,0.0,2010-08,2,2010-08-13,2010-08-29,0.2244,0.2244,0.2176,0.2312,0.1335,0.1335,0.131,0.136,0.0722,0.14255,0.2248,0.2447,0.0,0.0,2116,True,,,False
ASG00007q2,demo_stream,H06,2010-08-19T01:30:18,34.87707923340478,-2.4926360321035275,ok,1.2506883144378662,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.08.tif,0.0,0.0,0.0,2010-08,2,2010-08-13,2010-08-29,0.2244,0.2244,0.2176,0.2312,0.1335,0.1335,0.131,0.136,0.0722,0.14255,0.2248,0.2447,0.0,0.0,2116,True,,,False
ASG00007r0,demo_stream,H06,2010-08-20T12:51:28,34.87707923340478,-2.4926360321035275,ok,1.2506883144378662,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.08.tif,0.0,0.0,0.0,2010-08,2,2010-08-13,2010-08-29,0.2244,0.2244,0.2176,0.2312,0.1335,0.1335,0.131,0.136,0.0722,0.14255,0.2248,0.2447,0.0,0.0,2116,True,,,False
ASG0000af3,demo_stream,M10,2010-09-13T14:31:48,34.97447044955092,-2.570749375599701,ok,23.0932674407959,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.2849,0.2849,0.282,0.2878,0.1721,0.1721,0.1586,0.1856,0.0687,0.1304,0.23415,0.22725,0.0,0.0,2116,True,,,False
ASG0000ebp,demo_stream,O10,2010-10-04T13:01:22,35.01573246331739,-2.5714576502204363,ok,14.671015739440918,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.3944,0.3944,0.3944,0.3944,0.1956,0.1956,0.1956,0.1956,0.0433,0.0809,0.1863,0.1644,0.0,0.0,2116,True,,,False
ASG0000f0b,demo_stream,P10,2010-10-08T13:26:56,35.039294416486804,-2.5792363354599663,ok,14.671015739440918,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.3437,0.3437,0.3437,0.3437,0.1789,0.1789,0.1789,0.1789,0.0503,0.0945,0.1935,0.1734,0.0,0.0,2116,True,,,False
