Site ID,Start date,End date
B03,2011-12-30,2012-01-09
B03,2012-02-28,2012-04-18
B03,2012-08-04,2012-10-04
B03,2013-02-08,2013-04-08
B04,2010-07-18,2010-08-24
B04,2011-02-22,2011-07-23
B04,2011-08-30,2012-10-03
B04,2012-10-20,2013-04-08
B05,2010-07-20,2010-10-16
B05,2011-02-22,2011-04-15
B05,2011-05-02,2011-07-23
B05,2011-08-30,2012-08-21
B05,2012-12-08,2013-01-21
B05,2013-02-08,2013-04-08
B06,2010-07-20,2010-09-03
B06,2011-02-12,2011-04-18
B06,2011-05-13,2011-05-16
B06,2011-10-24,2012-03-02
B06,2012-03-05,2013-02-07
B06,2013-02-08,2013-04-08
B07,2010-09-07,2010-10-16
B07,2011-02-12,2011-05-14
B07,2011-10-24,2011-11-29
B07,2011-12-29,2012-12-02
B07,2012-12-08,2013-04-08
B08,2011-02-12,2011-04-01
B08,2011-10-24,2011-12-24
B08,2011-12-29,2012-01-31
B08,2012-02-06,2012-05-08
B08,2012-05-20,2012-06-22
B08,2012-08-04,2012-09-06
B08,2012-10-03,2012-11-03
B08,2012-12-08,2012-12-21
B08,2013-02-08,2013-04-11
B09,2012-02-07,2012-08-03
B09,2012-08-04,2013-01-24
B09,2013-02-10,2013-04-11
B10,2012-02-07,2012-11-16
B10,2012-12-08,2013-03-16
B12,2012-02-07,2012-03-29
B12,2012-05-21,2012-07-31
B12,2012-08-02,2012-08-15
B12,2012-10-06,2012-11-08
B12,2012-12-11,2013-04-11
B13,2012-02-07,2012-07-28
B13,2012-08-02,2012-09-19
B13,2012-10-06,2013-04-11
C01,2012-03-05,2012-03-25
C01,2012-07-21,2012-08-28
C01,2012-09-13,2013-01-26
C01,2013-01-29,2013-04-06
C02,2011-11-01,2011-12-31
C02,2012-02-22,2012-06-16
C02,2012-07-21,2013-04-06
C03,2010-07-17,2010-08-11
C03,2010-08-21,2010-09-26
C03,2011-02-23,2011-04-12
C03,2011-05-02,2011-07-23
C03,2011-08-30,2011-12-11
C03,2011-12-30,2012-03-09
C03,2012-07-21,2012-10-02
C03,2012-11-19,2012-12-05
C03,2013-01-29,2013-03-14
C04,2010-07-18,2010-09-20
C04,2011-02-23,2011-04-18
C04,2011-05-02,2011-07-23
C04,2011-08-30,2011-10-16
C04,2011-10-29,2011-11-24
C04,2011-12-30,2011-12-30
C04,2012-02-28,2012-04-29
C04,2012-07-21,2012-08-30
C04,2012-09-13,2013-04-11
C05,2010-07-20,2010-10-16
C05,2011-02-25,2011-04-18
C05,2011-05-02,2011-07-23
C05,2011-08-30,2011-12-30
C05,2012-02-28,2012-04-29
C05,2012-07-21,2012-08-07
C05,2012-09-13,2013-01-25
C05,2013-01-29,2013-04-24
C06,2010-07-20,2010-08-08
C06,2010-08-24,2010-10-06
C06,2010-10-16,2010-11-04
C06,2011-02-25,2011-04-27
C06,2011-05-02,2011-05-28
C06,2011-10-24,2012-06-30
C06,2012-07-21,2012-11-02
C06,2012-11-19,2013-04-01
C07,2010-07-20,2010-07-25
C07,2010-10-16,2010-10-17
C07,2011-02-12,2011-03-31
C07,2011-04-01,2011-05-10
C07,2011-05-13,2011-07-07
C07,2011-10-24,2012-03-03
C07,2013-01-29,2013-02-19
C08,2011-03-03,2011-07-19
C08,2011-10-24,2012-05-17
C08,2012-05-20,2012-07-30
C08,2012-08-04,2012-12-08
C08,2013-01-29,2013-04-11
C09,2011-03-03,2011-07-27
C09,2011-10-24,2013-01-27
C09,2013-02-10,2013-04-11
C10,2011-02-14,2011-07-27
C10,2011-10-24,2012-03-05
C10,2012-03-29,2013-03-02
C11,2011-02-14,2011-03-03
C11,2011-03-04,2011-06-21
